val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
3.6998605728149414,0,0,,,
,0,71,-0.174474835395813,1.2634130716323853,2.9784011840820312
,1,143,,,2.874563217163086
,2,215,,,2.8993303775787354
,3,287,,,2.840846300125122
,4,359,,,2.862924098968506
,5,431,,,2.8578648567199707
,6,503,,,2.9205658435821533
,7,575,,,2.839354991912842
,8,647,,,2.8428194522857666
2.8439927101135254,9,719,,,
,9,719,-0.17801883816719055,1.2710360288619995,2.8365960121154785
,10,791,,,2.879774332046509
,11,863,,,2.8118462562561035
,12,935,,,2.8474597930908203
,13,1007,,,2.8618485927581787
,14,1079,,,2.866697311401367
,15,1151,,,2.797461986541748
,16,1223,,,2.8784351348876953
,17,1295,,,2.8762481212615967
,18,1367,,,2.8823628425598145
2.8335769176483154,19,1439,,,
,19,1439,-0.18429595232009888,1.283705711364746,2.8866629600524902
,20,1511,,,2.8108835220336914
,21,1583,,,2.8554811477661133
,22,1655,,,2.8304944038391113
,23,1727,,,2.789188861846924
,24,1799,,,2.850278615951538
,25,1871,,,2.8091018199920654
,26,1943,,,2.8211684226989746
,27,2015,,,2.8777036666870117
,28,2087,,,2.849093437194824
2.8270323276519775,29,2159,,,
,29,2159,-0.18222065269947052,1.2702887058258057,2.779310703277588
,30,2231,,,2.818833589553833
,31,2303,,,2.8029329776763916
,32,2375,,,2.830613136291504
,33,2447,,,2.824357032775879
,34,2519,,,2.791409492492676
,35,2591,,,2.776660442352295
,36,2663,,,2.8735930919647217
,37,2735,,,2.850079298019409
,38,2807,,,2.818004846572876
2.8173763751983643,39,2879,,,
,39,2879,-0.18212160468101501,1.2565479278564453,2.8262479305267334
,40,2951,,,2.7910971641540527
,41,3023,,,2.812863826751709
,42,3095,,,2.832376718521118
,43,3167,,,2.8287129402160645
,44,3239,,,2.82047700881958
,45,3311,,,2.753432035446167
,46,3383,,,2.7815165519714355
,47,3455,,,2.8191754817962646
,48,3527,,,2.7872517108917236
2.809016227722168,49,3599,,,
,49,3599,-0.18447443842887878,1.2602373361587524,2.832986354827881
