val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
3.743406057357788,0,0,,,
,0,28,-0.18344023823738098,1.3192517757415771,3.0190157890319824
,1,57,,,2.842289686203003
,2,86,,,2.8570737838745117
,3,115,,,2.8067541122436523
,4,144,,,2.803284168243408
,5,173,,,2.8248794078826904
,6,202,,,2.838832378387451
,7,231,,,2.798919916152954
,8,260,,,2.797244071960449
2.7857718467712402,9,289,,,
,9,289,-0.18167969584465027,1.3282023668289185,2.7660207748413086
,10,318,,,2.8016245365142822
,11,347,,,2.793334722518921
,12,376,,,2.7848129272460938
,13,405,,,2.798311233520508
,14,434,,,2.8164641857147217
,15,463,,,2.7330212593078613
,16,492,,,2.8270633220672607
,17,521,,,2.8164145946502686
,18,550,,,2.812892436981201
2.7712435722351074,19,579,,,
,19,579,-0.1825563609600067,1.3484636545181274,2.805691719055176
,20,608,,,2.7619788646698
,21,637,,,2.772515296936035
,22,666,,,2.776707887649536
,23,695,,,2.7735610008239746
,24,724,,,2.7799692153930664
,25,753,,,2.743746519088745
,26,782,,,2.779513359069824
,27,811,,,2.8307032585144043
,28,840,,,2.770801544189453
2.761570453643799,29,869,,,
,29,869,-0.179756298661232,1.3386977910995483,2.734349250793457
,30,898,,,2.7846901416778564
,31,927,,,2.7661361694335938
,32,956,,,2.771552324295044
,33,985,,,2.767476797103882
,34,1014,,,2.7166831493377686
,35,1043,,,2.7388246059417725
,36,1072,,,2.814671516418457
,37,1101,,,2.789876937866211
,38,1130,,,2.7897346019744873
2.7635278701782227,39,1159,,,
,39,1159,-0.18257386982440948,1.3324164152145386,2.759425163269043
,40,1188,,,2.74833607673645
,41,1217,,,2.774432897567749
,42,1246,,,2.765772819519043
,43,1275,,,2.757534980773926
,44,1304,,,2.7781319618225098
,45,1333,,,2.705524444580078
,46,1362,,,2.7301530838012695
,47,1391,,,2.7569785118103027
,48,1420,,,2.7399706840515137
2.758615016937256,49,1449,,,
,49,1449,-0.18448811769485474,1.32886803150177,2.796287775039673
,50,1478,,,2.7930920124053955
,51,1507,,,2.7427451610565186
,52,1536,,,2.750626564025879
,53,1565,,,2.755643606185913
,54,1594,,,2.750880002975464
,55,1623,,,2.7524056434631348
,56,1652,,,2.7626161575317383
,57,1681,,,2.7886765003204346
,58,1710,,,2.8141207695007324
2.7550740242004395,59,1739,,,
,59,1739,-0.18363308906555176,1.332521677017212,2.7640879154205322
,60,1768,,,2.7371952533721924
,61,1797,,,2.736574411392212
,62,1826,,,2.736692190170288
,63,1855,,,2.7789418697357178
,64,1884,,,2.729227304458618
,65,1913,,,2.730301856994629
,66,1942,,,2.7854413986206055
,67,1971,,,2.7709412574768066
,68,2000,,,2.7702383995056152
2.751328229904175,69,2029,,,
,69,2029,-0.18539778888225555,1.3192437887191772,2.7712769508361816
,70,2058,,,2.728753089904785
,71,2087,,,2.7337934970855713
,72,2116,,,2.7548623085021973
,73,2145,,,2.7432878017425537
,74,2174,,,2.7504050731658936
,75,2203,,,2.779149055480957
,76,2232,,,2.8074159622192383
,77,2261,,,2.7476348876953125
,78,2290,,,2.7561893463134766
2.748558521270752,79,2319,,,
,79,2319,-0.18886257708072662,1.3335187435150146,2.750128746032715
,80,2348,,,2.7477223873138428
