val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
3.7412807941436768,0,0,,,
,0,28,-0.1746845543384552,1.31779944896698,3.0175814628601074
,1,57,,,2.8422491550445557
,2,86,,,2.857111930847168
,3,115,,,2.8068742752075195
,4,144,,,2.8043112754821777
,5,173,,,2.8270134925842285
,6,202,,,2.840762138366699
,7,231,,,2.8019235134124756
,8,260,,,2.801403522491455
2.7888784408569336,9,289,,,
,9,289,-0.17602607607841492,1.3271632194519043,2.7710206508636475
,10,318,,,2.8040547370910645
,11,347,,,2.7969131469726562
,12,376,,,2.7880795001983643
,13,405,,,2.8019587993621826
,14,434,,,2.819749355316162
,15,463,,,2.7341487407684326
,16,492,,,2.831047773361206
,17,521,,,2.819570302963257
,18,550,,,2.8162178993225098
2.7767879962921143,19,579,,,
,19,579,-0.1806289255619049,1.3476214408874512,2.8092215061187744
,20,608,,,2.7653722763061523
,21,637,,,2.7761449813842773
,22,666,,,2.7800211906433105
,23,695,,,2.777071475982666
,24,724,,,2.7840561866760254
,25,753,,,2.7472620010375977
,26,782,,,2.782761812210083
,27,811,,,2.8344030380249023
,28,840,,,2.774160623550415
2.7696402072906494,29,869,,,
,29,869,-0.17783735692501068,1.338057518005371,2.736004114151001
,30,898,,,2.7869279384613037
,31,927,,,2.767561912536621
,32,956,,,2.774728536605835
,33,985,,,2.7677712440490723
,34,1014,,,2.718254804611206
,35,1043,,,2.7416367530822754
,36,1072,,,2.8184401988983154
,37,1101,,,2.790736436843872
,38,1130,,,2.790778160095215
2.769725799560547,39,1159,,,
,39,1159,-0.17774809896945953,1.3317404985427856,2.760474681854248
,40,1188,,,2.749833345413208
,41,1217,,,2.7759668827056885
,42,1246,,,2.7673280239105225
,43,1275,,,2.7587461471557617
,44,1304,,,2.7798569202423096
,45,1333,,,2.707314968109131
,46,1362,,,2.731538772583008
,47,1391,,,2.758610248565674
,48,1420,,,2.741441249847412
2.7625231742858887,49,1449,,,
,49,1449,-0.18254981935024261,1.328307032585144,2.798064708709717
,50,1478,,,2.795151710510254
,51,1507,,,2.7438788414001465
,52,1536,,,2.7516911029815674
,53,1565,,,2.7563414573669434
,54,1594,,,2.7519619464874268
,55,1623,,,2.7536981105804443
,56,1652,,,2.76395845413208
,57,1681,,,2.790116310119629
,58,1710,,,2.8156931400299072
2.7590370178222656,59,1739,,,
,59,1739,-0.18024788796901703,1.3321932554244995,2.766580581665039
,60,1768,,,2.739520311355591
,61,1797,,,2.7368476390838623
,62,1826,,,2.7373170852661133
,63,1855,,,2.7805752754211426
,64,1884,,,2.7312207221984863
,65,1913,,,2.7307748794555664
,66,1942,,,2.78721022605896
,67,1971,,,2.7727766036987305
,68,2000,,,2.771972417831421
2.7505176067352295,69,2029,,,
